Pergunta;Resposta;Categoria
Criação do Instituto de Computação;O Instituto de Computação (IC) da UFBA foi criado em 18 de Junho de 2021;Institucional/Sobre o IC
Resolução que criou o instituto de computação;Resolucao 05.2021 do Conselho Universitario da UFBA;Institucional/Sobre o IC
Departamentos que fazem parte do Instituto de Computação;Departamento de Ciência da Computação (DCC) e Departamento de Computacao Interdisciplinar (DCI);Institucional/Sobre o IC
Formação da estrutura administrativa do Instituto de Computação;Direção do IC, Centro de Atendimento a Graduação (CEAG) / Pos-Graduação (CEAPG), Centro de Apoio a Direção (CEAD), Departamento de Ciencia da Computação (DCC-IC) e Departamento de Computação Interdisciplinar (DCI-IC);Institucional/Estrutura Administrativa
Direção do IC;Fabiola Goncalves Pereira Greve, Diretora pro tempore e Vaninha Vieira dos Santos, Vice-Diretora pro tempore;Institucional/Estrutura Administrativa/Direção
Email da direção do IC;direcao-ic@ufba.br;Institucional/Estrutura Administrativa/Direção/Email direção
Direção do Centro de Atendimento a Graduação (CEAG) / Pos-Graduação (CEAPG);Kleber Batista Silva, Coordenador;Institucional/Estrutura Administrativa/CEAG/CEAPG
Email do Centro de Atendimento a Graduação (CEAG) / Pos-Graduação (CEAPG);ceag-ic@ufba.br / ceapg-ic@ufba.br;Institucional/Estrutura Administrativa/CEAG/CEAPG/Email CEAG/Email CEAPG
Direção do Centro de Apoio a Direção (CEAD);Marcio Kleber Ramos Filho, Coordenador;Institucional/Estrutura Administrativa/CEAD
Email do Centro de Apoio a Direção (CEAD);cead-ic@ufba.br;Institucional/Estrutura Administrativa/CEAD/Email CEAD
Direção do Departamento de Ciencia da Computação (DCC-IC);Cassio Vinicius Serafim Prazeres, Chefe do DCC-IC e Gustavo Bittencourt Figueiredo, Vice-Chefe do DCC-IC;Institucional/Estrutura Administrativa/DCC-IC/DCC
Direção do Departamento de Computação Interdisciplinar (DCI-IC);Sergio Gorender, Chefe do DCI-IC e Paul Denis Etienne Regnier, Vice-Chefe do DCI-IC ;Institucional/Estrutura Administrativa/DCC-IC/DCI
Docentes do IC em representações da UFBA no Conselho Universitário (Consuni);Dir. Profª. Fabiola Gonçalves Pereira Greve 01.07.2021 - 1º (pro tempore) e Vice. Profª. Vaninha Vieira dos Santos 06.10.2021 - 1º (pro tempore);Institucional/Representação/Consuni
Docentes do IC em representações da UFBA no Conselho Superior de Ensino, Pesquisa e Extensão (Consepe);Tit. Prof. Ivan do Carmo Machado - 08.10.2021 - 1º e Sup. Tiago de Oliveira Januário - 25.03.2022 - 1º;Institucional/Representação/Consepe
Docentes do Instituto de Computação em representações da UFBA no Conselho Acadêmico de Ensino (Cae);Tit. Prof. Tiago de Oliveira Januário - 04.03.2022 - 1º e Sup. Prof. Frederico de Araújo Durão - 04.03.2022 - 1º;Institucional/Representação/Cae
Docentes do Instituto de Computação em representações da UFBA no Conselho Acadêmico de Pesquisa e Extensão (Capex);Tit. Prof. Ivan do Carmo Machado - 08.10.2021 - 1º e Sup. Profª. Christina Von Flach Garcia - 08.10.2021 - 1º;Institucional/Representação/Capex
Docentes do Instituto de Computação em representações da UFBA no Comitê de Governança Digital;Dir. Profª. Fabiola Gonçalves Pereira Greve 01.07.2021 - 1º e Vice. Profª. Vaninha Vieira dos Santos 06.10.2021 - 1º;Institucional/Representação/Governança Digital
Site do Instituto de Computação da UFBA;https://computacao.ufba.br/;
Cadastro UFBA no e-MEC;https://emec.mec.gov.br/emec/consulta-cadastro/detalhamento/d96957f455f6405d14c6542552b0f6eb/NTc4;
Avaliação dos Cursos de Pós-Graduação em Computação do IC;https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/programa/quantitativos/quantitativoPrograma.jsf?areaAvaliacao=2&areaConhecimento=10300007&cdRegiao=0&ies=338507;
Modalidade dos Cursos de Pós-Graduação em Computação do IC;Presencial;
Duração do Mestrado em Ciência da Computação;24 Meses (2 anos);
Duração do Doutorado em Ciência da Computação;48 Meses (4 anos);
Bolsas de Mestrado ou Doutorado do IC;https://pgcomp.ufba.br/editais-publicados;
Áreas de Concentração da Pós-Graduação em Ciência da Computação;"Computação Aplicada; Engenharia de Software; Sistemas Computacionais; Computação Teórica";
Projetos de Inovação do IC;https://computacao.ufba.br/pt-br/projetos;
Cursos de Graduação do IC;;
