Pergunta,Resposta,Categoria,,,,,,,
Criação do Instituto de Computação,O Instituto de Computação (IC) da UFBA foi criado em 18 de Junho de 2021,Institucional/Sobre o IC,,,,,,,
Resolução que criou o instituto de computação,Resolucao 05.2021 do Conselho Universitario da UFBA,Institucional/Sobre o IC,,,,,,,
Departamentos que fazem parte do Instituto de Computação,Departamento de Ciência da Computação (DCC) e Departamento de Computacao Interdisciplinar (DCI),Institucional/Sobre o IC,,,,,,,
Formação da estrutura administrativa do Instituto de Computação,"Direção do IC, Centro de Atendimento a Graduação (CEAG) / Pos-Graduação (CEAPG),
Centro de Apoio a Direção (CEAD), Departamento de Ciencia da Computação (DCC-IC)
e Departamento de Computação Interdisciplinar (DCI-IC)",Institucional/Estrutura Administrativa,,,,,,,
Direção do IC,"Fabiola Goncalves Pereira Greve, Diretora pro tempore e Vaninha Vieira dos Santos, Vice-Diretora pro tempore",Institucional/Estrutura Administrativa/Direção-IC,,,,,,,
Email da direção do IC,direcao-ic@ufba.br,Institucional/Estrutura Administrativa/Direção-IC,,,,,,,
Direção do Centro de Atendimento a Graduação (CEAG) / Pos-Graduação (CEAPG),"Kleber Batista Silva, Coordenador",Institucional/Estrutura Administrativa/CEAG-CEAPG,,,,,,,
Email do Centro de Atendimento a Graduação (CEAG) / Pos-Graduação (CEAPG),ceag-ic@ufba.br / ceapg-ic@ufba.br,Institucional/Estrutura Administrativa/CEAG-CEAPG,,,,,,,
Direção do Centro de Apoio a Direção (CEAD),"Marcio Kleber Ramos Filho, Coordenador",Institucional/Estrutura Administrativa/CEAD,,,,,,,
Email do Centro de Apoio a Direção (CEAD),cead-ic@ufba.br,Institucional/Estrutura Administrativa/CEAD,,,,,,,
Direção do Departamento de Ciencia da Computação (DCC-IC),"Cassio Vinicius Serafim Prazeres, Chefe do DCC-IC e Gustavo Bittencourt Figueiredo, Vice-Chefe do DCC-IC",Institucional/Estrutura Administrativa/DCC-IC,,,,,,,
Direção do Departamento de Computação Interdisciplinar (DCI-IC),"Sergio Gorender, Chefe do DCI-IC e Paul Denis Etienne Regnier, Vice-Chefe do DCI-IC",Institucional/Estrutura Administrativa/DCC-IC,,,,,,,
Docentes do IC em representações da UFBA no Conselho Universitário (Consuni),"Dir. Profª. Fabiola Gonçalves Pereira Greve 01.07.2021 - 1º (pro tempore) e Vice. Profª. 
Vaninha Vieira dos Santos 06.10.2021 - 1º (pro tempore)",Institucional/Representação,,,,,,,
"Docentes do IC em representações da UFBA no Conselho Superior de Ensino, Pesquisa e Extensão (Consepe)",Tit. Prof. Ivan do Carmo Machado - 08.10.2021 - 1º e Sup. Tiago de Oliveira Januário - 25.03.2022 - 1º,Institucional/Representação,,,,,,,
Docentes do Instituto de Computação em representações da UFBA no Conselho Acadêmico de Ensino (Cae),Tit. Prof. Tiago de Oliveira Januário - 04.03.2022 - 1º e Sup. Prof. Frederico de Araújo Durão - 04.03.2022 - 1º,Institucional/Representação,,,,,,,
